chapter,verse,en,ar
1,1,"Now Arphaxad king of the Medes had brought many nations under his dominions, and he built a very strong city, which he called Ecbatana,",كَانَ أَرْفَكْشَادُ مَلِكُ الْمَادِيِّينَ قَدْ أَخْضَعَ أُمَماً كَثِيرَةً لِسُلْطَانِهِ، وَبَنَى مَدِينَةً مَنِيعَةً جِدًّا سَمَّاهَا أَحْمَتَا،
1,2,"Of stones squared and hewed: he made the walls thereof seventy cubits broad, and thirty cubits high, and the towers thereof he made a hundred cubits high. But on the square of them, each side was extended the space of twenty feet.",بَنَاهَا مِنْ حِجَارَةٍ مُرَبَّعَةٍ مَنْحُوتَةٍ، وَابْتَنَى أَسْوَارَهَا عَلَى ارْتِفَاعِ سَبْعِينَ ذِرَاعاً فِي عَرَضِ ثَلاَثِينَ ذِرَاعاً، وَشَيَّدَ بُرُوجَهَا عَلَى ارْتِفَاعِ مِئَةِ ذِرَاعٍ،
1,3,And he made the gates thereof according to the height of the towers:,مِسَاحَةُ كُلِّ جَانِبٍ مِنْ مُرَبَّعِهَا عِشْرُونَ قَدَماً، وَجَعَلَ أَبْوَابَهَا فِي عُلُوِّ الأَبْرَاجِ.
1,4,And he gloried as a mighty one in the force of his army and in the glory of his chariots.,وَكَانَ يَفْتَخِرُ بِقُدْرَتِهِ وَسَطْوَةِ جَيْشِهِ وَعِزَّةِ مَرَاكِبِهِ.
1,5,"Now in the twelfth year of his reign, Nabuchodonosor king of the Assyrians, who reigned in Ninive the great city, fought against Arphaxad and overcame him,",وَإِنَّ نَبُوخَذْنَصَّرَ مَلِكَ أَشُّورَ الَّذِي كَانَ مَالِكاً عَلَى نِينَوَى الْمَدِينَةِ الْعَظِيمَةِ فِي السَّنَةِ الثَّانِيَةِ عَشْرَةَ مِنْ مُلْكِهِ، حَارَبَ أَرْفَكْشَادَ فَظَفَرَ بِهِ
1,6,"In the great plain which is called Ragua, about the Euphrates, and the Tigris, and the Jadason, in the plain of Erioch the king of the Elicians.",فِي الصَّحْرَاءِ الْعَظِيمَةِ الَّتِي يُقَالُ لَهَا رَعَاوَى عِنْدَ الْفُرَاتِ وَدِجْلَةَ وَيَادَسُونَ فِي صَحَرَاءِ أَرْيُوكَ مَلِكِ عَلِيمَ.
1,7,"Then was the kingdom of Nabuchodonosor exalted, and his heart was elevated: and he sent to all that dwelt in Cilicia and Damascus, and Libanus,",فَعَظُمَ إِذْ ذَاكَ مُلْكُ نَبُوخَذْنَصَّرُ وَسَمَتْ نَفْسُهُ، فَرَاسَلَ جَمِيعَ سُكَّانِ قِيلِيقِيَّةَ وَدِمَشْقَ وَلُبْنَانَ
1,8,"And to the nations that are in Carmelus, and Cedar, and to the inhabitants of Galilee in the great plain of Asdrelon,",وَالأُمَمَ الَّتِي فِي الْكَرْمَلِ وَقِيدَارَ وَسُكَّانَ الْجَلِيلِ فِي صَحْرَاءِ يَزْرَعِيلَ الْوَاسِعَةِ،
1,9,"And to all that were in Samaria, and beyond the river Jordan even to Jerusalem, and all the land of Jesse till you come to the borders of Ethiopia.",وَجَمِيعَ مَنْ فِي السَّامِرَةِ وَعِبْرِ الأُرْدُنِّ إِلَى أُورُشَلِيمَ، وَفِي جَمِيعِ أَرْضِ يَسَّى إِلَى حُدُودِ الْحَبَشَةِ.
1,10,"To all these Nabuchodonosor king of the Assyrians, sent messengers:",إِلَى جَمِيعِ أُولئِكَ بَعَثَ نَبُوخَذْنَصَّرُ مَلِكُ أَشُّورَ رُسُلاً،
1,11,"But they all with one mind refused, and sent them back empty, and rejected them without honour.",فَأَبَى جَمِيعُهُمُ اتِّفَاقاً وَرَدُّوا الرُّسُلَ خَائِبِينَ وَطَرَدُوهُمْ بِلاَ كَرَامَةٍ.
