chapter,verse,en,ar
1,1,"All wisdom is from the Lord God, and hath been always with him, and is before all time.", كُلُّ حِكْمَةٍ فَهِيَ مِنَ الرَّبِّ وَلاَ تَزَالُ مَعَهُ إِلَى الأَبَدِ.
1,2,"Who hath numbered the sand of the sea, and the drops of rain, and the days of the world? Who hath measured the height of heaven, and the breadth of the earth, and the depth of the abyss?", مَنْ يُحْصِي رَمْلَ الْبِحَارِ وَقِطَارَ الْمَطَرِ وَأَيَّامَ الدَّهْرِ؟ وَمَنْ يَمْسَحُ سَمْكَ السَّمَاءِ وَرُحْبَ الأَرْضِ وَالْغَمْرَ؟
1,3,Who hath searched out the wisdom of God that goeth before all things?, وَمَنْ يَسْتَقْصِي الْحِكْمَةَ الَّتِي هِيَ سَابِقَةُ كُلِّ شَيْءٍ؟
1,4,"Wisdom hath been created before all things, and the understanding of prudence from everlasting.", قَبْلَ كُلِّ شَيْءٍ حِيزَتِ الْحِكْمَةُ وَمُنْذُ الأَزَلِ فَهْمُ الْفِطْنَةِ.
1,5,"The word of God on high is the fountain of wisdom, and her ways are everlasting commandments.", يَنْبُوعُ الْحِكْمَةِ كَلِمَةُ اللهِ فِي الْعُلَى وَمَسَالِكُهَا الْوَصَايَا الأَزَلِيَّةُ.
1,6,"To whom hath the root of wisdom been revealed, and who hath known her wise counsels?", لِمَنِ انْكَشَفَ أَصْلُ الْحِكْمَةِ وَمَنْ عَلِمَ دَهَاءَهَا؟
1,7,To whom hath the discipline of wisdom been revealed and made manifest? and who hath understood the multiplicity of her steps?, لِمَنْ تَجَلَّتْ مَعْرِفَةُ الْحِكْمَةِ وَمَنْ أَدْرَكَ كَثْرَةَ خُبْرَتِهَا؟
1,8,"There is one most high Creator Almighty, and a powerful king, and greatly to be feared, who sitteth upon his throne, and is the God of dominion."," وَاحِدٌ هُوَ حَكِيمٌ، عَظِيمُ الْمَهَابَةِ، جَالِسٌ عَلَى عَرْشِهِ."
1,9,"He created her in the Holy Ghost, and saw her, and numbered her, and measured her."," الرَّبُّ هُوَ حَازَهَا وَرَآهَا وَأَحْصَاهَا،"
1,10,"And he poured her out upon all his works, and upon all flesh according to his gift, and hath given her to them that love him."," وَأَفَاضَهَا عَلَى جَمِيعِ مَصْنُوعَاتِهِ، فَهِيَ مَعَ كُلِّ ذِي جَسَدٍ عَلَى حَسَبِ عَطِيَّتِهِ، وَقَدْ مَنَحَهَا لِمُحِبِّيهِ."
1,11,"The fear of the Lord is honour, and glory, and gladness, and a crown of joy.", مَخَافَةُ الرَّبِّ مَجْدٌ وَفَخْرٌ وَسُرُورٌ وَإِكْلِيلُ ابْتِهَاجٍ.
1,12,"The fear of the Lord shall delight the heart, and shall give joy, and gladness, and length of days."," مَخَافَةُ الرَّبِّ تَلَذُّ لِلْقَلْبِ، وَتُعْطِي السُّرُورَ وَالْفَرَحَ وَطُولَ الأَيَّامِ."
1,13,"With him that feareth the Lord, it shall go well in the latter end, and in the day of his death he shall be blessed."," اَلْمُتَّقِي لِلرَّبِّ يَطِيبُ نَفْساً فِي أَوَاخِرِهِ، وَيَنَالُ حُظْوَةً يَوْمَ مَوْتِهِ."
1,14,The love of God is honourable wisdom., مَحَبَّةُ الرَّبِّ هِيَ الْحِكْمَةُ الْمَجِيدَةُ.
1,15,"Ana they to whom she shall shew herself love her by the sight, and by the knowledge of her great works.", وَالَّذِينَ تَتَرَاءَى لَهُمْ يُحِبُّونَهَا عِنْدَ رُؤْيَتِهِمْ لَهَا وَتَأَمُّلِهِمْ لِعَظَائِمِهَا.
1,16,"The fear of the Lord Is the beginning of wisdom, and was created with the faithful in the womb, it walketh with chosen women, and is known with the just and faithful."," رَأْسُ الْحِكْمَةِ مَخَافَةُ اللهِ. إِنَّهَا تَوَلَّدَتْ فِي الرَّحِمِ مَعَ الْمُؤْمِنِينَ، وَجَعَلَتْ عُشَّهَا بَيْنَ النَّاسِ مَدَى الدَّهْرِ، وَسَتُسَلِّمُ نَفْسَهَا إِلَى ذُرِّيَّتِهِمْ."
1,17,The fear of the Lord is the religiousness of knowledge., مَخَافَةُ الرَّبِّ هِيَ عِبَادَتُهُ عَنْ مَعْرِفَةٍ.
1,18,"Religiousness shall keep and justify the heart, it shall give joy and gladness."," اَلْعِبَادَةُ تَحْفَظُ الْقَلْبَ وَتُبَرِّرُهُ، وَتَمْنَحُ السُّرُورَ وَالْفَرَحَ."
1,19,"It shall go well with him that feareth the Lord, and in the days of his end he shall be blessed."," اَلْمُتَّقِي لِلرَّبِّ يَطِيبُ نَفْساً، وَيَنَالُ حُظْوَةً فِي يَوْمِ وَفَاتِهِ."
1,20,"To fear God is the fulness of wisdom, and fulness is from the fruits thereof.", كَمَالُ الْحِكْمَةِ مَخَافَةُ الرَّبِّ. إِنَّهَا تُسْكِرُ بِثِمَارِهَا.
1,21,"She shall fill all her house with her increase, and the storehouses with her treasures."," تَمْلأُ كُلَّ بَيْتِهَا رَغَائِبَ، وَمَخَازِنَهَا غِلاَلاً."
1,22,"The fear of the Lord is a crown of wisdom, filling up peace and the fruit of salvation:"," إِكْلِيلُ الْحِكْمَةِ مَخَافَةُ الرَّبِّ. إِنَّهَا تُنْشِئُ السَّلاَمَ وَالشِّفَاءَ وَالْعَافِيَةَ،"
1,23,"And it hath seen, and numbered her: but both are the gifts of God."," وَقَدْ رَأَتِ الْحِكْمَةَ وَأَحْصَتْهَا، وَكِلْتَاهُمَا عَطِيَّةٌ مِنَ اللهِ."
1,24,"Wisdom shall distribute knowledge, and understanding of prudence: and exalteth the glory of them that hold her."," الْحِكْمَةُ تَسْكُبُ الْمَعْرِفَةَ وَعِلْمَ الْفِطْنَةِ، وَتُعْلِي مَجْدَ الَّذِينَ يَمْلِكُونَهَا."
1,25,The root of wisdom is to fear the Lord: and the branches thereof are longlived.," أَصْلُ الْحِكْمَةِ مَخَافَةُ الرَّبِّ، وَفُرُوعُهَا طُولُ الأَيَّامِ."
1,26,"In the treasures of wisdom is understanding, and religiousness of knowledge: but to sinners wisdom is an abomination."," فِي ذَخَائِرِ الْحِكْمَةِ الْعَقْلُ وَالْعِبَادَةُ عَنْ مَعْرِفَةٍ، أَمَّا عِنْدَ الْخُطَاةِ فَالْحِكْمَةُ رِجْسٌ."
1,27,The fear of the Lord driveth out sin:, مَخَافَةُ الرَّبِّ تَنْفِي الْخَطِيئَةَ.
1,28,"For he that is without fear, cannot be justified: for the wrath of his high spirits is his ruin."," غَضَبُ الأَثِيمِ لاَ يُمْكِنُ أَنْ يُبَرَّرَ، لأَنَّ وِقْرَ غَضَبِهِ يُسْقِطُهُ."
1,29,"A patient man shall bear for a time, and afterwards joy shall be restored to him."," اَلطَّوِيلُ الأَنَاةِ يَصْبِرُ إِلَى حِينٍ، ثُمَّ يُعَاوِدُهُ السُّرُورُ."
1,30,"A good understanding will hide his words for a time, and the lips of many shall declare his wisdom."," اَلْعَاقِلُ يَكْتُمُ كَلاَمَهُ إِلَى حِينٍ، وَشِفَاهُ الْمُؤْمِنِينَ تُثْنِي عَلَى عَقْلِهِ."
1,31,In the treasures of wisdom is the signification of discipline:," فِي ذَخَائِرِ الْحِكْمَةِ أَمْثَالُ الْمَعْرِفَةِ،"
1,32,But the worship of God is an abomination to a sinner., أَمَّا عِنْدَ الْخَاطِئِ فَعِبَادَةُ اللهِ رِجْسٌ.
1,33,"Son, if thou desire wisdom, keep justice, and God will give her to thee."," يَا بُنَيَّ، إِنْ رَغِبْتَ فِي الْحِكْمَةِ، فَاحْفَظِ الْوَصَايَا، فَيَهَبَهَا لَكَ الرَّبُّ."
1,34,"For the fear of the Lord is wisdom and discipline: and that which is agreeable to him,"," فَإِن الْحِكْمَةَ وَالتَّأْدِيبَ هُمَا مَخَافَةُ الرَّبِّ، وَالَّذِي يُرْضِيهِ"
1,35,"Is faith, and meekness: and he will fill up his treasures."," هُوَ: الإِيْمَانُ وَالْوَدَاعَةُ، فَيَغْمُرُ صَاحِبَهُمَا بِالْكُنُوزِ."
1,36,Be not incredulous to the fear of the Lord: and come not to him with a double heart.," لاَ تُعَاصِ مَخَافَةَ الرَّبِّ، وَلاَ تَتَقَدَّمْ إِلَيْهِ بِقَلْبٍ وَقَلْبٍ."
1,37,"Be not a hypocrite in the sight of men, and let not thy lips be a stumblingblock to thee."," لاَ تَكُنْ مُرَائِياً فِي وُجُوهِ النَّاسِ، وَكُنْ مُحْتَرِساً لِشَفَتَيْكَ."
1,38,"Watch over them, lest thou fall, and bring dishonour upon thy soul,"," لاَ تَتَرَفَّعْ لِئَلاَّ تَسْقُطَ؛ فَتَجْلُبَ عَلَى نَفْسِكَ الْهَوَانَ،"
1,39,"And God discover thy secrets, and cast thee down in the midst of the congregation."," وَيَكْشِفَ الرَّبُّ خَفَايَاكَ، وَيَصْرَعَكَ فِي الْمَجْمَعِ،"
1,40,"Because thou camest to the Lord wickedly, and thy heart is full of guile and deceit."," لأَنَّكَ لَمْ تَتَوَجَّهْ إِلَى مَخَافَةِ الرَّبِّ، لكِنَّ قَلْبَكَ مَمْلُوءٌ مَكْراً."
