chapter,verse,en,ar
1,1," Tobias of the tribe and city of Nephtali, (which is in the upper parts of Galilee above Naasson, beyond the way that leadeth to the west, having on the right hand the city of Sephet,)", كَانَ طُوبِيَّا وَهُوَ مِنْ سِبْطِ وَمَدِينَةِ نَفْتَالِي الَّتِي فِي الْجَلِيلِ الأَعْلَى فَوْقَ نَحْشُونَ وَرَاءَ الطَّرِيقِ الآخِذِ غَرْباً وَإِلَى يَسَارِهَا مَدِينَةُ صَفَتَ،
1,2,"When he was made captive in the days of Salmanasar king of the Assyrians, even in his captivity, forsook not the way of truth,", قَدْ جُلِيَ فِي عَهْدِ شَلْمَنْأَسَرَ مَلِكِ أَشُّورَ إِلاَّ أَنَّهُ مَعَ كَوْنِهِ فِي الْجَلاَءِ لَمْ يُفَارِقْ سَبِيلَ الْحَقِّ،
1,3,"But every day gave all he could get to his brethren his fellow captives, that were of his kindred.",حَتَّى كَانَ كُلُّ مَا يَتَيَسَّرُ لَهُ يَقْسِمُهُ كُلَّ يَوْمٍ عَلَى مَنْ جُلِيَ مَعَهُ مِنْ إِخْوَانِهِ الَّذِينَ مِنْ جِنْسِهِ.
1,4,"And when he was younger than any of the tribe of Nephtali, yet did he no childish thing in his work.",وَمَعَ أَنَّهُ كَانَ أَحْدَثَ الْجَمِيعِ فِي سِبْطِ نَفْتَالِيَ لَمْ يَكُنْ عَلَى شَيْءٍ مِنْ شُؤُونِ الأَحْدَاثِ.
1,5,"Moreover when all went to the golden calves which Jeroboam king of Israel had made, he alone fled the company of all,",وَكَانَ إِذَا قَصَدُوا كُلُّهُمْ عُجُولَ الذَّهَبِ الَّتِي عَمِلَهَا يَارُبْعَامُ مَلِكُ إِسْرَائِيلَ، يَتَخَلَّفُ وَحْدَهُ عَنْ سَائِرِهِمْ
1,6,"And went to Jerusalem to the temple of the Lord, and there adored the Lord God of Israel, offering faithfully all his firstfruits, and his tithes,", فَيَمْضِي إِلَى أُورُشَلِيمَ إِلَى هَيْكَلِ الرَّبِّ، وَهُنَاكَ كَانَ يَسْجُدُ لِلرَّبِّ إِلهِ إِسْرَائِيلَ، وَيُوفِي جَمِيعَ بَوَاكِيرِهِ وَأَعْشَارِهِ.
1,7,"So that in the third year he gave all his tithes to the proselytes, and strangers.",وَإِذَا كَانَتِ السَّنَةُ الثَّالِثَةُ كَانَ يَجْعَلُ جَمِيعَ أَعْشَارِهِ لِلدُّخَلاَءِ وَالْغُرَبَاءِ.
1,8,These and such like things did he observe when but a boy according to the law of God.,وَعَلَى هذَا وَأَمْثَالِهِ، كَانَ مُثَابِراً مُنْذُ صَبْوَتِهِ عَلَى وَفْقِ شَرِيعَةِ اللهِ.
1,9,"But when he was a man, he took to wife Anna of his own tribe, and had a son by her, whom he called after his own name,", وَلَمَّا أَنْ صَارَ رَجُلاً، اتَّخَذَ لَهُ امْرَأَةً مِنْ سِبْطِهِ اسْمُهَا حَنَّةُ، فَوُلِدَ لَهُ مِنْهَا وَلَدٌ فَسَمَّاهُ بِاسْمِهِ،
1,10,"And from his infancy he taught him to fear God, and to abstain from all sin.",وَأَدَّبَهُ مُنْذُ صِغَرِهِ عَلَى تَقْوَى اللهِ وَاجْتِنَابِ كُلِّ خَطِيئَةٍ.
1,11,"And when by the captivity he with his wife and his son and all his tribe was come to the city of Ninive,", وَلَمَّا جُلِيَ مَعَ امْرَأَتِهِ وَوَلَدِهِ إِلَى مَدِينَةِ نِينَوَى، حَيْثُ كَانَتْ كُلُّ عَشِيرَتِهِ،
1,12,(When all ate of the meats of the Gentiles) he kept his soul and never was defiled with their meats., وَقَدْ كَانُوا كُلُّهُمْ يَأْكُلُونَ مِنْ أَطْعِمَةِ الأُمَمِ، كَانَ هُوَ يَصُونُ نَفْسَهُ وَلَمْ يَتَنَجَّسْ قَطُّ بِمَأْكُولاَتِهِمْ.
1,13,"And because he was mindful of the Lord with all his heart, God gave him favour in the sight of Salmanasar the king.", وَلأَجْلِ أَنَّهُ كَانَ يَذْكُرُ الرَّبَّ بِكُلِّ قَلْبِهِ، أَتَاهُ اللهُ حُظْوَةً لَدَى الْمَلِكِ شَلْمَنْأَسَرَ،
1,14,"And he gave him leave to go whithersoever he would, with liberty to do whatever he had a mind.",فَأَطْلَقَ لَهُ أَنْ يَذْهَبَ حَيْثُمَا شَاءَ وَيَفْعَلَ مَا يُرِيدُ.
1,15,"He therefore went to all that were in captivity, and gave them wholesome admonitions.",فَكَانَ يَطُوفُ عَلَى كُلِّ مَنْ كَانَ فِي الْجَلاَءِ، وَيُرْشِدُهُمْ بِنَصَائِحِ الْخَلاَصِ.
1,16,"And when he was come to Rages a city of the Medes, and had ten talents of silver of that with which he had been honoured by the king:", ثُمَّ إِنَّهُ قَدِمَ رَاجِيسَ مَدِينَةَ مَادَايَ، وَكَانَ مَعَهُ مِمَّا آثَرَهُ بِهِ الْمَلِكُ عَشَرَةُ قَنَاطِيرَ مِنَ الْفِضَّةِ.
1,17,"And when amongst a great multitude of his kindred, he saw Gabelus in want, who was one of his tribe, taking a note of his hand he gave him the aforesaid sum of money.", فَرَأَى بَيْنَ الْجُمْهُورِ الْغَفِيرِ الَّذِي مِنْ جِنْسِهِ رَجُلاً مِنْ سِبْطِهِ يُقَالُ لَهُ غَابِيلُوسُ فِي فَاقَةٍ، فَدَفَعَ إِلَيْهِ الزِّنَةَ الْمَذْكُورَةَ مِنَ الْفِضَّةِ بِصَكٍّ.
1,18,"But after a long time, Salmanasar the king being dead, when Sennacherib his son, who reigned in his place, had a hatred for the children of Israel:", وَكَانَ بَعْدَ أَيَّامٍ كَثِيرَةٍ أَنْ مَاتَ الْمَلِكُ شَلْمَنْأَسَرُ فَمَلَكَ سَنْحَارِيبُ ابْنُهُ مَكَانَهُ، فَوَقَعَ بَنُو إِسْرَائِيلَ عِنْدَهُ مَوْقِعَ الْكَرَاهَةِ.
1,19,"Tobias daily went among all his kindred, and comforted them, and distributed to every one as he was able, out of his goods:", وَكَانَ طُوبِيَّا يَطُوفُ كُلَّ يَوْمٍ عَلَى جَمِيعِ عَشِيرَتِهِ وَيُعَزِّيهِمْ، وَيُؤَاسِي كُلَّ وَاحِدٍ مِنْ أَمْوَالِهِ عَلَى قَدْرِ وُسْعِهِ.
1,20,"He fed the hungry, and gave clothes to the naked, and was careful to bury the dead, and they that were slain.", فَيُطْعِمُ الْجِيَاعَ، وَيَكْسُو الْعُرَاةَ، وَيَدْفِنُ الْمَوْتَى وَالْقَتْلَى بِغَيْرَةٍ شَدِيدَةٍ.
