chapter,verse,en,ar
1,1,"Love justice, you that are the judges of the earth. Think of the Lord in goodness, and seek him in simplicity of heart."," أَحِبُّوا الْعَدْلَ، يَا قُضَاةَ الأَرْضِ، وَاعْتَقِدُوا فِي الرَّبِّ خَيْراً، وَالْتَمِسُوهُ بِقَلْبٍ سَلِيمٍ."
1,2,For he is found by them that tempt him not: and he sheweth himself to them that have faith in him.," فَإِنَّمَا يَجِدُهُ الَّذِينَ لاَ يُجَرِّبُونَهُ، وَيَتَجَلَّى لِلَّذِينَ لاَ يَكْفُرُونَ بِهِ."
1,3,"For perverse thoughts seperate from God: and his power, when it is tried, reproveth the unwise:"," لأَنَّ الأَفْكَارَ الزَّائِغَةَ تُقْصِي مِنَ اللهِ، وَاخْتِبَارَ قُدْرَتِهِ يُثَقِّفُ الْجُهَّالَ."
1,4,"For wisdom will not enter into a malicious soul, nor dwell in a body subject to sins."," إِنَّ الْحِكْمَةَ لاَ تَلِجُ النَّفْسَ السَّاعِيَةَ بَالْمَكْرِ، وَلاَ تَحِلُّ فِي الْجَسَدِ الْمُسْتَرَقِّ لِلْخَطِيَّةِ،"
1,5,"For the Holy Spirit of discipline will flee from the deceitful, and will withdraw himself from thoughts that are without understanding, and he shall not abide when iniquity cometh in."," لأَنَّ رُوحَ التَّأْدِيبِ الْقُدُّوسَ يَهْرُبُ مِنَ الْغِشِّ، وَيَتَحَوَّلُ عَنِ الأَفْكَارِ السَّفِيهَةِ، وَيَنْهَزِمُ إِذَا حَضَرَ الإِثْمُ."
1,6,"For the spirit of wisdom is benevolent, and will not acquit the evil speaker from his lips: for God is witness of his reins, and he is a true searcher of his heart, and a hearer of his tongue."," إِنَّ رُوحَ الْحِكْمَةِ مُحِبٌّ لِلإِنْسَانِ؛ فَلاَ يُبَرِّئُ الْمُجَدِّفَ مِمَّا نَطَقَ، لأَنَّ اللهَ نَاظِرٌ لِكُلْيَتَيْهِ وَرَقِيبٌ لِقَلْبِهِ لاَ يَغْفُلُ وَسَامِعٌ لِفَمِهِ."
1,7,"For the spirit of the Lord hath filled the whole world: and that, which containeth all things, hath knowledge of the voice."," لأَنَّ رُوحَ الرَّبِّ مَلأَ الْمَسْكُونَةَ، وَوَاسِعَ الْكُلِّ عِنْدَهُ عِلْمُ كُلِّ كَلِمَةٍ."
1,8,"Therefore he that speaketh unjust things cannot be hid, neither shall the chastising judgment pass him by."," فَلِذلِكَ لاَ يَخْفَى عَلَيْهِ نَاطِقٌ بِسُوءٍ، وَلاَ يَنْجُو مِنَ الْقَضَاءِ الْمُفْحِمِ،"
1,9,"For inquisition shall be made into the thoughts of the ungodly: and the hearing of his words shall come to God, to the chastising of his iniquities."," لكِنْ سَيُفْحَصُ عَنْ أَفْكَارِ الْمُنَافِقِ، وَكُلُّ مَا سُمِعَ مِنْ أَقْوَالِهِ يَبْلُغُ إِلَى الرَّبِّ فَيُحْكَمُ عَلَى آثَامِهِ،"
1,10,"For the ear of jealousy heareth all things, and the tumult of murmuring shall not be hid."," لأَنَّ الأُذُنَ الْغَيْرَى تَسْمَعُ كُلَّ شَيْءٍ، وَصِيَاحُ الْمُتَذَمِّرِينَ لاَ يَخْفَى عَلَيْهَا."
1,11,"Keep yourselves therefore from murmuring, which profiteth nothing, and refrain your tongue from detraction, for an obscure speech shall not go for nought: and the mouth that belieth, killeth the soul."," فَاحْتَرِزُوا مِنَ التَّذَمُّرِ الَّذِي لاَ خَيْرَ فِيهِ، وَكُفُّوا أَلْسِنَتَكُمْ عَنِ الثَّلْبِ؛ فَإِنَّ الْمَنْطُوقَ بِهِ فِي الْخُفْيَةِ لاَ يَذْهَبُ سُدًى، وَالْفَمَ الْكَاذِبَ يَقْتُلُ النَّفْسَ."
1,12,"Seek not death in the error of your life, neither procure ye destruction by the works of your hands."," لاَ تَغَارُوا عَلَى الْمَوْتِ فِي ضَلاَلِ حَيَاتِكُمْ، وَلاَ تَجْلُبُوا عَلَيْكُمُ الْهَلاَكَ بِأَعْمَالِ أَيْدِيكُمْ،"
1,13,"For God made not death, neither hath he pleasure in the destruction of the living."," إِذْ لَيْسَ الْمَوْتُ مِنْ صُنْعِ اللهِ، وَلاَ هَلاَكُ الأَحْيَاءِ يَسُرُّهُ."
1,14,"For he created all things that they might be: and he made the nations of the earth for health: and there is no poison of destruction in them, nor kingdom of hell upon the earth."," لأَنَّهُ إِنَّمَا خَلَقَ الْجَمِيعَ لِلْبَقَاءِ؛ فَمَوَالِيدُ الْعَالَمِ إِنَّمَا كُوِّنَتْ مُعَافَاةً، وَلَيْسَ فِيهَا سُمٌّ مُهْلِكٌ، وَلاَ وِلاَيَةَ لِلْجَحِيمِ عَلَى الأَرْضِ،"
1,15,For justice is perpetual and immortal., لأَنَّ الْبِرَّ خَالِدٌ.
1,16,"But the wicked with works and words have called it to them: and esteeming it a friend have fallen away, and have made a covenant with it: because they are worthy to be of the part thereof."," لكِنَّ الْمُنَافِقِينَ هُمُ اسْتَدْعَوُا الْمَوْتَ بِأَيْدِيهِمْ وَأَقْوَالِهِمْ. ظَنُّوهُ حَلِيفاً لَهُمْ فَاضْمَحَلُّوا، وَإِنَّمَا عَاهَدُوهُ لأَنَّهُمْ أَهْلٌ أَنْ يَكُونُوا مِنْ حِزْبِهِ."
2,1,"For they have said, reasoning with themselves, but not right: The time of our life is short and tedious, and in the end of a man there is no remedy, and no man hath been known to have returned from hell:"," فَإِنَّهُمْ بِزَيْغِ أَفْكَارِهِمْ قَالُوا فِي أَنْفُسِهِمْ: «إِنَّ حَيَاتَنَا قَصِيرَةٌ شَقِيَّةٌ، وَلَيْسَ لِمَمَاتِ الإِنْسَانِ مِنْ دَوَاءٍ، وَلَمْ يُعْلَمْ قَطُّ أَنَّ أَحَداً رَجَعَ مِنَ الْجَحِيمِ."
2,2,"For we are born of nothing, and after this we shall be as if we had not been: for the breath in our nostrils is smoke: and speech a spark to move our heart,"," إِنَّا وُلِدْنَا اتِّفَاقاً، وَسَنَكُونُ مِنْ بَعْدُ كَأَنَّا لَمْ نَكُنْ قَطُّ، لأَنَّ النَّسَمَةَ فِي آنَافِنَا دُخَانٌ، وَالنُّطْقَ شَرَارَةٌ مِنْ حَرَكَةِ قُلُوبِنَا."
2,3,"Which being put out, our body shall be ashes, and our spirit shall be poured abroad as soft air, and our life shall pass away as the trace of a cloud, and shall be dispersed as a mist, which is driven away by the beams of the sun, and overpowered with the heat thereof:"," فَإِذَا انْطَفَأَتْ عَادَ الْجِسْمُ رَمَاداً، وَانْحَلَّ الرُّوحُ كَنَسِيمٍ رَقِيقٍ، وَزَالَتْ حَيَاتُنَا كَأَثَرِ غَمَامَةٍ، وَاضْمَحَلَّتْ مِثْلَ ضَبَابٍ يَسُوقُهُ شُعَاعُ الشَّمْسِ، وَيَسْقُطُ بِحَرِّهَا،"
2,4,"And our name in time shall be forgotten, and no man shall have any remembrance of our works."," وَبَعْدَ حِينٍ يُنْسَى اسْمُنَا، وَلاَ يَذْكُرُ أَحَدٌ أَعْمَالَنَا."
2,5,"For our time is as the passing of a shadow, and there is no going back of our end: for it is fast sealed, and no man returneth."," إِنَّمَا حَيَاتُنَا ظِلٌّ يَمْضِي، وَلاَ مَرْجِعَ لَنَا بَعْدَ الْمَوْتِ؛ لأَنَّهُ يُخْتَمُ عَلَيْنَا فَلاَ يَعُودُ أَحَدٌ."
2,6,"Come therefore, and let us enjoy the good things that are present, and let us speedily use the creatures as in youth."," فَتَعَالَوْا نَتَمَتَّعْ بِالطَّيِّبَاتِ الْحَاضِرَةِ، وَنَبْتَدِرْ مَنَافِعَ الْوُجُودِ مَا دُمْنَا فِي الشَّبِيبَةِ،"
2,7,"Let us fill ourselves with costly wine, and ointments: and let not the flower of the time pass by us."," وَنَتَرَوَ مِنَ الْخَمْرِ الْفَاخِرَةِ، وَنَتَضَمَّخْ بِالأَدْهَانِ، وَلاَ تَفُتْنَا زَهْرَةُ الأَوَانِ،"
2,8,"Let us crown ourselves with roses, before they be withered: let no meadow escape our riot."," وَنَتَكَلَّلْ بِالْوَرْدِ قَبْلَ ذُبُولِهِ، وَلاَ يَكُنْ مَرْجٌ إِلاَّ تَمُرُّ لَنَا فِيهِ لَذَّةٌ."
2,9,"Let none of us go without his part in luxury: let us everywhere leave tokens of joy: for this is our portion, and this our lot."," وَلاَ يَكُنْ فِينَا مَنْ لاَ يَشْتَرِكُ فِي لَذَّاتِنَا، وَلْنَتْرُكْ فِي كُلِّ مَكَانٍ آثَارَ الْفَرَحِ؛ فَإِنَّ هذَا حَظُّنَا وَنَصيِبُنَا."
2,10,"Let us oppress the poor just man, and not spare the widow, nor honour the ancient grey hairs of the aged."," لِنَجُرْ عَلَى الْفَقِيرِ الصِّدِّيقِ، وَلاَ نُشْفِقْ عَلَى الأَرْمَلَةِ، وَلاَ نَهَبْ شَيْبَةَ الشَّيْخِ الْكَثِيرِ الأَيَّامِ."
2,11,"But let our strength be the law of justice: for that which is feeble, is found to be nothing worth.", وَلْتَكُنْ قُوَّتُنَا هِيَ شَرِيعَةَ الْعَدْلِ؛ فَإِنَّهُ مِنَ الثَّابِتِ أَنَّ الضُّعْفَ لاَ يُغْنِي شَيْئاً.
2,12,"Let us therefore lie in wait for the just, because he is not for our turn, and he is contrary to our doings, and upbraideth us with transgressions of the law, and divulgeth against us the sins of our way of life."," وَلْنَكْمُنْ لِلصِّدِّيقِ؛ فَإِنَّهُ ثَقِيلٌ عَلَيْنَا يُقَاوِمُ أَعْمَالَنَا، وَيُقَرِّعُنَا عَلَى مُخَالَفَتِنَا لِلْنَّامُوسِ، وَيَفْضَحُ ذُنُوبَ سِيرَتِنَا."
